DATE,Kabupaten,national,traffic,swe,e2e_delay,video_streaming_download_throughput
2025-05-11,KAB. GARUT,Indonesia-SF,86837188077541.0,86477.0,155.83408462903077,1831.6747316349995
2025-05-11,KAB. GARUT,Indonesia-XL,365257439561007.0,464572.0,152.2001081506324,3798.6823086165277
2025-05-11,KAB. GIANYAR,Indonesia-SF,20164649693672.0,22870.0,143.3191111183913,2523.293497669132
2025-05-11,KAB. GIANYAR,Indonesia-XL,133866465418458.0,180960.0,150.3946157022145,4773.435567100132
2025-05-11,KAB. GORONTALO,Indonesia-XL,39247383827174.0,54485.0,246.74955963180568,4006.8010722999043
2025-05-11,KAB. GORONTALO UTARA,Indonesia-XL,6518615664887.0,9946.0,400.9789500761289,3834.558720499073
2025-05-11,KAB. GOWA,Indonesia-SF,113052295273533.0,109457.0,188.68903497918996,1702.6318463577568
2025-05-11,KAB. GOWA,Indonesia-XL,152126788203067.0,115851.0,275.1153546345173,3110.353475261088
2025-05-11,KAB. GRESIK,Indonesia-SF,44987205587810.0,50328.0,112.35038382010248,2603.346179879205
2025-05-11,KAB. GRESIK,Indonesia-XL,131206235825760.0,140440.0,147.76465571967452,5198.073556368496
2025-05-11,KAB. GROBOGAN,Indonesia-SF,148470289524993.0,192064.0,155.5658020222952,1637.5759385465533
2025-05-11,KAB. GROBOGAN,Indonesia-XL,65035861307485.0,75936.0,115.07505367354797,5897.6322967964925
2025-05-11,KAB. GUNUNG MAS,Indonesia-XL,12149794429289.0,13062.0,1169.2133007066313,1453.8893618192699
2025-05-11,KAB. GUNUNGKIDUL,Indonesia-SF,65145852376449.0,75090.0,240.95050956342033,1618.5278274268455
2025-05-11,KAB. GUNUNGKIDUL,Indonesia-XL,113070019496533.0,125353.0,157.14054265866585,4362.4944219499575
2025-05-11,KAB. HALMAHERA BARAT,Indonesia-XL,224055301453.0,540.0,937.8840735489038,767.03220919556
2025-05-11,KAB. HALMAHERA SELATAN,Indonesia-XL,1530365739589.0,4875.0,1228.2687185515465,609.5111982638942
2025-05-11,KAB. HALMAHERA TENGAH,Indonesia-XL,4599243456.0,28.0,1063.3077855502884,799.5033720819949
2025-05-11,KAB. HALMAHERA TIMUR,Indonesia-XL,256928663018.0,714.0,1288.2233624483565,736.7396153630099
2025-05-11,KAB. HALMAHERA UTARA,Indonesia-XL,14529382243.0,85.0,1999.463481593363,357.4316089172119
2025-05-11,KAB. HULU SUNGAI SELATAN,Indonesia-SF,1758860261941.0,1816.0,171.56194074000658,2074.5328715429737
2025-05-11,KAB. HULU SUNGAI SELATAN,Indonesia-XL,44621376347080.0,53117.0,157.787873960329,4572.877220212355
2025-05-11,KAB. HULU SUNGAI TENGAH,Indonesia-SF,1145027151412.0,1287.0,250.9165606640256,2798.8672290090667
2025-05-11,KAB. HULU SUNGAI TENGAH,Indonesia-XL,33134723476146.0,39835.0,171.33078557557755,4940.660232411318
2025-05-11,KAB. HULU SUNGAI UTARA,Indonesia-SF,461606839758.0,501.0,130.20240108041892,2449.1777431054484
2025-05-11,KAB. HULU SUNGAI UTARA,Indonesia-XL,40711536451634.0,45687.0,137.5149938215324,5354.118973046372
2025-05-11,KAB. HUMBANG HASUNDUTAN,Indonesia-SF,3794699963510.0,2847.0,139.19092059478476,2013.8078052137273
2025-05-11,KAB. HUMBANG HASUNDUTAN,Indonesia-XL,35153469261931.0,20053.0,137.98271769409618,3057.016243950986
2025-05-11,KAB. INDRAGIRI HILIR,Indonesia-SF,303960296834.0,345.0,174.67789513939482,2017.9523894523545
2025-05-11,KAB. INDRAGIRI HILIR,Indonesia-XL,76290685246358.0,56860.0,168.7091967171737,3182.8154735722546
2025-05-11,KAB. INDRAGIRI HULU,Indonesia-SF,360109179210.0,356.0,169.7277854203365,3060.748830281616
2025-05-11,KAB. INDRAGIRI HULU,Indonesia-XL,72727921532592.0,49995.0,125.33385675448373,4448.958024787649
2025-05-11,KAB. INDRAMAYU,Indonesia-SF,11001382825557.0,14157.0,146.45949287279328,2421.6582110915983
2025-05-11,KAB. INDRAMAYU,Indonesia-XL,226751244755258.0,383291.0,96.0183850927731,5056.145533686486
2025-05-11,KAB. JEMBER,Indonesia-SF,21937789775168.0,34747.0,104.02302495591698,2801.926086954341
2025-05-11,KAB. JEMBER,Indonesia-XL,90989568885327.0,162140.0,162.19625549289128,5184.978113600347
2025-05-11,KAB. JEMBRANA,Indonesia-SF,8370943322306.0,11476.0,135.43077606134875,2172.2479307495714
2025-05-11,KAB. JEMBRANA,Indonesia-XL,46656728226686.0,77487.0,141.6236981481871,5083.535112445329
2025-05-11,KAB. JENEPONTO,Indonesia-SF,31047818383088.0,34547.0,180.93226416050632,1020.0864868757217
2025-05-11,KAB. JENEPONTO,Indonesia-XL,87925992174344.0,62635.0,237.37030761173335,3083.1703890295043
2025-05-11,KAB. JEPARA,Indonesia-SF,70662480828472.0,99519.0,149.64303909089156,1590.02767654332
2025-05-11,KAB. JEPARA,Indonesia-XL,155313829250109.0,146084.0,119.23149128367959,5114.953976483945
2025-05-11,KAB. JOMBANG,Indonesia-SF,14514001599208.0,20322.0,112.47741725220938,2412.9083796939008
2025-05-11,KAB. JOMBANG,Indonesia-XL,83159763381694.0,100393.0,139.56719675232674,5017.053753127946
2025-05-11,KAB. KAIMANA,Indonesia-XL,293082427442.0,800.0,1282.4735145832935,416.80133022352754
2025-05-11,KAB. KAMPAR,Indonesia-SF,31002800845074.0,25424.0,132.99798188568997,1838.30229195875
2025-05-11,KAB. KAMPAR,Indonesia-XL,181789733988155.0,130011.0,123.15494644174098,4078.6846953445224
2025-05-11,KAB. KAPUAS,Indonesia-SF,3169192070789.0,2849.0,104.10269895680801,1926.7705380967884
2025-05-11,KAB. KAPUAS,Indonesia-XL,47752091115686.0,39649.0,334.91343997619606,3606.665722780546
2025-05-11,KAB. KAPUAS HULU,Indonesia-XL,130671167634.0,393.0,1940.5677487636096,717.9625600240233
2025-05-11,KAB. KARANGANYAR,Indonesia-SF,41843031733892.0,54996.0,192.6060009586486,1962.7512562049408
2025-05-11,KAB. KARANGANYAR,Indonesia-XL,102246177115046.0,108747.0,139.59768466519535,4711.963973165658
2025-05-11,KAB. KARANGASEM,Indonesia-SF,12340937107189.0,15912.0,280.9567619883514,1685.664148380275
2025-05-11,KAB. KARANGASEM,Indonesia-XL,65362477270835.0,81867.0,205.76703540953778,4096.915320713502
2025-05-11,KAB. KARAWANG,Indonesia-SF,73804192742924.0,63781.0,129.37385513112605,2493.4589273568427
2025-05-11,KAB. KARAWANG,Indonesia-XL,376909730382108.0,317594.0,91.52409793689094,5335.675904094739
2025-05-11,KAB. KARIMUN,Indonesia-SF,2612499146130.0,2470.0,149.11537529632778,2327.529501668772
2025-05-11,KAB. KARIMUN,Indonesia-XL,20496132999446.0,23695.0,183.48035914889053,4718.277303396989
2025-05-11,KAB. KARO,Indonesia-SF,8429363527695.0,7003.0,203.65524854258717,2061.1427017722954
2025-05-11,KAB. KARO,Indonesia-XL,85955009112523.0,64657.0,155.0221242664369,2992.333221488464
2025-05-11,KAB. KATINGAN,Indonesia-XL,10671483990727.0,7873.0,240.4137303710909,3758.8833579029415
2025-05-11,KAB. KAUR,Indonesia-SF,15933952125.0,38.0,226.00070069580124,2694.1235972365535
2025-05-11,KAB. KAUR,Indonesia-XL,7352897868179.0,6215.0,149.97442390593355,3565.3151889996043
2025-05-11,KAB. KAYONG UTARA,Indonesia-XL,583260805680.0,561.0,562.6997884394866,4469.864731507602
2025-05-11,KAB. KEBUMEN,Indonesia-SF,82856100058190.0,90311.0,188.06174331562292,1488.53555136143
2025-05-11,KAB. KEBUMEN,Indonesia-XL,151151734250801.0,172783.0,138.8585530308807,4245.948017048144
2025-05-11,KAB. KEDIRI,Indonesia-SF,10143022937178.0,15041.0,116.58300232295004,2871.611908999422
2025-05-11,KAB. KEDIRI,Indonesia-XL,101876091002238.0,135109.0,142.53051674118444,4874.443648875859
2025-05-11,KAB. KENDAL,Indonesia-SF,73091374636060.0,86654.0,156.2718052575228,1806.1057022192738
2025-05-11,KAB. KENDAL,Indonesia-XL,163588455602268.0,199209.0,116.87870268771103,5082.027699176322
2025-05-11,KAB. KEPAHIANG,Indonesia-SF,38485808770.0,65.0,189.3378143787604,2064.059668844541
2025-05-11,KAB. KEPAHIANG,Indonesia-XL,26696741369651.0,23410.0,144.5358277688889,3135.5955739041706
2025-05-11,KAB. KEPULAUAN ANAMBAS,Indonesia-SF,1027244337539.0,974.0,238.67220611825397,2009.7829589634862
2025-05-11,KAB. KEPULAUAN ANAMBAS,Indonesia-XL,810875905972.0,727.0,1718.2124463063124,1467.225574009479
2025-05-11,KAB. KEPULAUAN ARU,Indonesia-XL,34572342035.0,59.0,1014.0043957401016,1018.73494019603
